order_id,order_date,customer_id,customer_age,customer_region,product_category,product_name,quantity,unit_price,discount_percent,payment_method,shipping_cost,delivery_days,customer_rating,is_returned,revenue,order_month,order_weekday
104710,2023-06-01,676,46.0,Nord,Mode,Mütze,1,29.84,10.0,Sofortüberweisung,2.99,4,5.0,False,26.856,2023-06,Thursday
100691,2024-06-06,371,30.0,West,Elektronik,Bluetooth-Lautsprecher,2,21.07,0.0,Rechnung,2.99,6,5.0,False,42.14,2024-06,Thursday
100065,2023-09-09,501,26.0,Ost,Mode,T-Shirt,1,26.9,20.0,PayPal,6.99,3,3.0,False,21.52,2023-09,Saturday
103426,2023-11-02,961,30.0,Süd,Haushalt,Staubsauger,1,13.9,10.0,Kreditkarte,6.99,4,5.0,False,12.51,2023-11,Thursday
104820,2023-01-21,1213,48.0,Süd,Mode,Mütze,1,53.6,0.0,Sofortüberweisung,4.99,3,4.0,False,53.6,2023-01,Saturday
100393,2023-01-23,140,31.0,Mitte,Sport,Laufschuhe,3,26.16,0.0,Kreditkarte,4.99,2,4.0,False,78.48,2023-01,Monday
101424,2023-04-06,116,45.0,Mitte,Mode,Sneaker,2,4.71,0.0,PayPal,4.99,5,5.0,False,9.42,2023-04,Thursday
100642,2023-10-14,181,36.0,Ost,Elektronik,Kopfhörer,1,67.81,5.0,Lastschrift,6.99,6,4.0,False,64.4195,2023-10,Saturday
102835,2024-01-01,1497,18.0,Süd,Haushalt,Pfannenset,1,59.7,5.0,Sofortüberweisung,0.0,4,5.0,False,56.715,2024-01,Monday
101738,2023-03-07,1006,43.0,Nord,Elektronik,Powerbank,2,16.99,5.0,Lastschrift,6.99,6,3.0,False,32.281,2023-03,Tuesday
102945,2023-04-24,1738,38.0,Süd,Elektronik,Smartphone-Hülle,1,38.67,0.0,Lastschrift,0.0,3,4.0,False,38.67,2023-04,Monday
102067,2023-05-10,940,35.0,Nord,Elektronik,Bluetooth-Lautsprecher,1,41.85,0.0,Rechnung,4.99,2,2.0,False,41.85,2023-05,Wednesday
103347,2024-11-03,1053,45.0,Mitte,Sport,Yogamatte,2,58.33,0.0,Kreditkarte,2.99,2,5.0,True,116.66,2024-11,Sunday
100530,2024-12-23,674,31.0,Mitte,Elektronik,Powerbank,1,54.21,0.0,Sofortüberweisung,2.99,4,4.0,False,54.21,2024-12,Monday
104301,2024-03-20,503,56.0,Süd,Mode,Mütze,3,15.9,25.0,Sofortüberweisung,0.0,1,3.0,False,35.775000000000006,2024-03,Wednesday
100828,2024-09-22,1772,55.0,Ost,Elektronik,Powerbank,1,64.86,0.0,Rechnung,2.99,5,4.0,False,64.86,2024-09,Sunday
101204,2024-03-01,19,31.0,Süd,Mode,Jeans,1,31.57,10.0,Rechnung,2.99,3,4.0,False,28.413,2024-03,Friday
100179,2024-09-04,1029,46.0,Nord,Bücher,Sachbuch,2,4.04,25.0,Kreditkarte,2.99,4,4.0,False,6.0600000000000005,2024-09,Wednesday
102765,2023-03-28,719,37.0,Süd,Mode,Sneaker,1,37.07,20.0,Sofortüberweisung,2.99,3,5.0,False,29.656000000000002,2023-03,Tuesday
101777,2024-01-09,396,41.0,West,Elektronik,Bluetooth-Lautsprecher,1,36.42,0.0,PayPal,4.99,6,5.0,False,36.42,2024-01,Tuesday
104927,2023-09-15,481,38.0,West,Bücher,Comic,1,18.12,0.0,Sofortüberweisung,0.0,6,4.0,False,18.12,2023-09,Friday
100491,2023-11-14,957,54.0,Ost,Elektronik,Smartphone-Hülle,1,33.3,20.0,Lastschrift,0.0,1,4.0,False,26.64,2023-11,Tuesday
104653,2024-12-08,1593,31.0,Süd,Elektronik,Kopfhörer,1,30.37,5.0,Kreditkarte,2.99,8,4.0,False,28.851499999999998,2024-12,Sunday
100033,2023-07-06,1145,31.0,Mitte,Haushalt,Pfannenset,1,64.52,0.0,Rechnung,4.99,2,5.0,False,64.52,2023-07,Thursday
103022,2024-03-12,984,35.0,West,Mode,Jacke,4,60.61,0.0,Sofortüberweisung,2.99,4,4.0,False,242.44,2024-03,Tuesday
103620,2023-07-08,472,38.0,Ost,Elektronik,Powerbank,1,52.84,0.0,Kreditkarte,0.0,1,4.0,False,52.84,2023-07,Saturday
100485,2024-12-24,1155,37.0,Ost,Mode,Mütze,2,58.41,0.0,Rechnung,6.99,4,4.0,False,116.82,2024-12,Tuesday
100079,2024-12-29,1376,44.0,Süd,Mode,Mütze,1,39.78,15.0,Lastschrift,4.99,4,5.0,False,33.813,2024-12,Sunday
101344,2023-07-18,285,22.0,Mitte,Haushalt,Staubsauger,1,41.0,0.0,Lastschrift,0.0,5,2.0,True,41.0,2023-07,Tuesday
100577,2023-11-29,53,44.0,Nord,Elektronik,Powerbank,1,37.14,0.0,PayPal,0.0,2,5.0,False,37.14,2023-11,Wednesday
101175,2023-02-05,947,22.0,West,Elektronik,Smartphone-Hülle,1,21.59,5.0,PayPal,0.0,2,4.0,True,20.5105,2023-02,Sunday
101487,2023-10-02,1679,58.0,Nord,Mode,Sneaker,1,39.18,0.0,Lastschrift,0.0,5,5.0,False,39.18,2023-10,Monday
100497,2024-06-05,1365,38.0,Süd,Mode,Jeans,1,12.62,0.0,Sofortüberweisung,4.99,6,4.0,False,12.62,2024-06,Wednesday
104102,2023-04-27,1295,18.0,Süd,Sport,Yogamatte,1,12.37,0.0,PayPal,6.99,5,5.0,False,12.37,2023-04,Thursday
101144,2024-08-08,1228,30.0,West,Elektronik,Kopfhörer,1,40.01,10.0,Lastschrift,2.99,2,1.0,True,36.009,2024-08,Thursday
103734,2023-04-18,836,26.0,Mitte,Bücher,Kochbuch,1,28.53,20.0,Lastschrift,2.99,4,-1.0,False,22.824,2023-04,Tuesday
104237,2024-09-05,858,21.0,Mitte,Sport,Laufschuhe,1,39.93,5.0,PayPal,2.99,2,5.0,False,37.933499999999995,2024-09,Thursday
103243,2024-06-24,1608,47.0,Süd,Sport,Hantel,1,24.63,10.0,PayPal,2.99,2,4.0,False,22.166999999999998,2024-06,Monday
101235,2024-01-04,236,35.0,Süd,Mode,Mütze,2,20.01,0.0,Sofortüberweisung,4.99,4,5.0,False,40.02,2024-01,Thursday
104568,2023-11-03,1302,34.0,Süd,Haushalt,Pfannenset,2,53.24,0.0,Sofortüberweisung,4.99,1,3.0,False,106.48,2023-11,Friday
