order_id,order_date,customer_id,customer_age,customer_region,product_category,product_name,quantity,unit_price,discount_percent,payment_method,shipping_cost,delivery_days,customer_rating,is_returned
104710,2023-06-01,676,46.0,Nord,Mode,Mütze,1,29.84,10.0,Sofortüberweisung,2.99,4,5.0,False
100691,2024-06-06,371,30.0,West,Elektronik,Bluetooth-Lautsprecher,2,21.07,0.0,Rechnung,2.99,6,5.0,False
100065,2023-09-09,501,26.0,Ost,Mode,T-Shirt,1,26.9,20.0,PayPal,6.99,3,3.0,False
103426,2023-11-02,961,30.0,Süd,Haushalt,Staubsauger,1,13.9,10.0,Kreditkarte,6.99,4,5.0,False
104820,2023-01-21,1213,48.0,Süd,Mode,Mütze,1,53.6,0.0,Sofortüberweisung,4.99,3,4.0,False
100393,2023-01-23,140,31.0,Mitte,Sport,Laufschuhe,3,26.16,0.0,Kreditkarte,4.99,2,4.0,False
101424,2023-04-06,116,45.0,Mitte,Mode,Sneaker,2,4.71,0.0,PayPal,4.99,5,5.0,False
100642,2023-10-14,181,36.0,Ost,Elektronik,Kopfhörer,1,67.81,5.0,Lastschrift,6.99,6,4.0,False
102835,2024-01-01,1497,18.0,Süd,Haushalt,Pfannenset,1,59.7,5.0,Sofortüberweisung,0.0,4,5.0,False
101738,2023-03-07,1006,43.0,Nord,Elektronik,Powerbank,2,16.99,5.0,Lastschrift,6.99,6,3.0,False
102945,2023-04-24,1738,,Süd,Elektronik,Smartphone-Hülle,1,38.67,0.0,Lastschrift,0.0,3,4.0,False
102067,2023-05-10,940,35.0,Nord,Elektronik,Bluetooth-Lautsprecher,1,41.85,0.0,Rechnung,4.99,2,2.0,False
103347,2024-11-03,1053,45.0,Mitte,Sport,Yogamatte,2,58.33,0.0,Kreditkarte,2.99,2,5.0,True
100530,2024-12-23,674,31.0,Mitte,Elektronik,Powerbank,1,54.21,0.0,Sofortüberweisung,2.99,4,4.0,False
104301,2024-03-20,503,56.0,Süd,Mode,Mütze,3,15.9,25.0,Sofortüberweisung,0.0,1,3.0,False
100828,2024-09-22,1772,55.0,Ost,Elektronik ,Powerbank,1,64.86,0.0,Rechnung,2.99,5,4.0,False
101204,2024-03-01,19,31.0,Süd,Mode,Jeans,1,31.57,10.0,Rechnung,2.99,3,4.0,False
100179,2024-09-04,1029,46.0,Nord,Bücher,Sachbuch,2,4.04,25.0,Kreditkarte,2.99,4,4.0,False
102765,2023-03-28,719,37.0,Süd,Mode,Sneaker,1,37.07,20.0,Sofortüberweisung,2.99,3,5.0,False
101777,2024-01-09,396,41.0,West,Elektronik,Bluetooth-Lautsprecher,1,36.42,0.0,PayPal,4.99,6,5.0,False
104927,2023-09-15,481,38.0,West,BÜCHER,Comic,1,18.12,0.0,Sofortüberweisung,0.0,6,4.0,False
100491,2023-11-14,957,54.0,Ost,Elektronik,Smartphone-Hülle,1,33.3,20.0,Lastschrift,0.0,1,4.0,False
104653,2024-12-08,1593,31.0,Süd,Elektronik ,Kopfhörer,1,30.37,5.0,Kreditkarte,2.99,8,4.0,False
100033,2023-07-06,1145,31.0,Mitte,Haushalt,Pfannenset,1,64.52,0.0,Rechnung,4.99,2,5.0,False
103022,2024-03-12,984,35.0,West,Mode,Jacke,4,60.61,0.0,Sofortüberweisung,2.99,4,4.0,False
103620,2023-07-08,472,,Ost,Elektronik,Powerbank,1,52.84,0.0,Kreditkarte,0.0,1,4.0,False
100485,2024-12-24,1155,37.0,Ost,Mode,Mütze,2,58.41,0.0,Rechnung,6.99,4,4.0,False
100079,2024-12-29,1376,44.0,Süd,Mode,Mütze,1,39.78,15.0,Lastschrift,4.99,4,5.0,False
101344,2023-07-18,285,22.0,Mitte,HAUSHALT,Staubsauger,1,41.0,0.0,Lastschrift,0.0,5,2.0,True
100577,2023-11-29,53,44.0,Nord,Elektronik,Powerbank,1,37.14,0.0,PayPal,0.0,2,5.0,False
101175,2023-02-05,947,22.0,West,Elektronik,Smartphone-Hülle,1,21.59,5.0,PayPal,0.0,2,4.0,True
101487,2023-10-02,1679,58.0,Nord,Mode,Sneaker,1,39.18,0.0,Lastschrift,0.0,5,5.0,False
100497,2024-06-05,1365,38.0,Süd,Mode,Jeans,1,12.62,0.0,Sofortüberweisung,4.99,6,4.0,False
104102,2023-04-27,1295,18.0,Süd,Sport,Yogamatte,1,12.37,0.0,PayPal,6.99,5,5.0,False
101144,2024-08-08,1228,30.0,West,Elektronik,Kopfhörer,1,40.01,10.0,Lastschrift,2.99,2,1.0,True
103734,2023-04-18,836,26.0,Mitte,BÜCHER,Kochbuch,1,28.53,20.0,Lastschrift,2.99,4,,False
104237,2024-09-05,858,21.0,Mitte,Sport,Laufschuhe,1,39.93,5.0,PayPal,2.99,2,5.0,False
103243,2024-06-24,1608,47.0,Süd,Sport,Hantel,1,24.63,10.0,PayPal,2.99,2,4.0,False
101235,2024-01-04,236,35.0,Süd,Mode,Mütze,2,20.01,0.0,Sofortüberweisung,4.99,4,5.0,False
104568,2023-11-03,1302,34.0,Süd,Haushalt,Pfannenset,2,53.24,0.0,Sofortüberweisung,4.99,1,3.0,False
104267,2023-03-14,1006,23.0,Nord,Mode,Jeans,1,17.64,0.0,Rechnung,2.99,6,,False
100624,2024-12-02,884,43.0,Ost,Mode,Jeans,1,28.72,0.0,PayPal,6.99,8,5.0,False
101629,2023-09-12,382,18.0,Süd,Haushalt,Bettwäsche,1,15.82,0.0,Kreditkarte,4.99,2,4.0,False
100199,2024-01-20,1783,39.0,Ost,Elektronik,USB-Kabel,1,28.69,0.0,Kreditkarte,2.99,2,5.0,False
103613,2024-01-12,632,30.0,Mitte,Mode,T-Shirt,2,21.11,10.0,Sofortüberweisung,4.99,4,5.0,False
101988,2023-10-06,1732,34.0,West,Sport,Hantel,2,53.04,10.0,Rechnung,4.99,5,4.0,False
102344,2024-01-18,1453,51.0,Süd,Sport,Laufschuhe,1,23.77,0.0,Lastschrift,0.0,1,1.0,False
103263,2023-09-22,786,59.0,West,Haushalt,Bettwäsche,1,39.8,0.0,Kreditkarte,2.99,4,5.0,False
101905,2023-12-27,546,51.0,West,Mode,T-Shirt,1,18.63,5.0,Kreditkarte,4.99,4,4.0,False
100765,2024-01-22,1652,33.0,Mitte,Mode ,T-Shirt,1,11.47,0.0,Rechnung,6.99,1,5.0,False
100803,2023-01-02,1661,37.0,Mitte,Bücher,Kochbuch,1,8.98,0.0,Sofortüberweisung,4.99,5,5.0,False
101501,2024-04-30,853,45.0,West,Sport,Yogamatte,1,50.93,0.0,Kreditkarte,4.99,8,5.0,False
101770,2024-07-10,277,50.0,Nord,Mode,Jeans,2,21.15,0.0,Sofortüberweisung,0.0,2,1.0,False
100106,2023-04-23,1173,37.0,Mitte,Elektronik,Smartphone-Hülle,3,29.13,0.0,Lastschrift,4.99,3,,False
